;bid;Name;area;free_walls;floors;use;type;year;lat;lon;dist2hp
140;151;B151;37.76381695144378;4;3.0;3;2;1.0;-336386.56451388943;9414.032570935653;0
141;152;B152;56.188545108696154;4;3.0;3;2;1.0;-336462.4632985263;9237.532351689872;0
142;153;B153;33.007532044980195;4;3.0;3;2;1.0;-336380.38798502384;9301.295999930397;0
143;154;B154;15.957103799700135;4;3.0;3;2;1.0;-336435.6109451767;9270.836926460655;0
144;155;B155;20.02252245275335;2;3.0;3;2;1.0;-336401.83824247343;9427.230865782934;0
145;156;B156;56.79945013700205;3;3.0;3;2;1.0;-336448.6078803036;9285.960842446975;0
146;157;B157;118.88778398581258;4;3.0;3;2;1.0;-336363.84181869484;9310.968029170583;0
147;158;B158;73.57383283910069;4;3.0;3;2;1.0;-336433.40679628286;9448.871423398994;0
148;159;B159;94.69719385390142;4;3.0;3;2;1.0;-336434.1531635617;9168.361073666554;0
149;160;B160;93.93587980080245;4;3.0;3;2;1.0;-336411.4695232401;9262.066575052699;0
150;161;B161;29.6547662756449;4;3.0;3;2;1.0;-336449.1713848723;9319.511263699907;0
151;162;B162;139.91026998684077;4;3.0;3;2;1.0;-336356.9981989668;9286.971230488023;0
152;163;B163;42.318182189648404;3;3.0;3;2;1.0;-336406.14328622806;9323.805396049102;0
153;164;B164;141.12450319869;4;3.0;3;2;1.0;-336319.93144309614;9205.88614510908;0
154;165;B165;159.94206671922586;4;3.0;3;2;1.0;-336494.99929793435;9407.130269324247;0
155;166;B166;36.25608564146642;4;3.0;3;2;1.0;-336390.32773780747;9215.785435358774;0
156;167;B167;6.923152204294087;4;3.0;3;2;1.0;-336435.21426037425;9261.089949832922;0
157;168;B168;30.871933777083292;4;3.0;3;2;1.0;-336367.1995495627;9321.795977488597;0
158;169;B169;39.031089201099775;4;3.0;3;2;1.0;-336332.87349299947;9334.501060660172;0
159;170;B170;145.78605904700376;4;3.0;3;2;1.0;-336488.20200471726;9159.106134108835;0
160;171;B171;24.202377470996197;4;3.0;3;2;1.0;-336478.05744751747;9446.492217792364;0
161;172;B172;76.7986869726608;4;3.0;3;2;1.0;-336390.79483374965;9299.506105230104;0
162;173;B173;25.64335755237043;3;3.0;3;2;1.0;-336426.0505353481;9236.51886200339;0
163;174;B174;12.597883539907238;4;3.0;3;2;1.0;-336419.2775537752;9347.589286147895;0
164;175;B175;127.28261375033249;4;3.0;3;2;1.0;-336371.3413437405;9370.813123277036;0
165;176;B176;142.59752373239377;4;3.0;3;2;1.0;-336440.1762071022;9371.408364254967;0
166;177;B177;30.76854927366636;2;3.0;3;2;1.0;-336418.5572676537;9292.641285825448;0
167;178;B178;10.961316309258725;4;3.0;3;2;1.0;-336451.57012710837;9165.73347337959;0
168;179;B179;19.74178060221628;3;3.0;3;2;1.0;-336381.7793968803;9284.859392236653;0
